antiquity,bathrooms,buildingSubtype,buildingType,clientAlias,clientType,detailUrl,floor,isNew,isNewConstruction,latitude,location_address,location_locality,location_municipality,location_zone,longitude,phone,price_amount,price_drop,propertyId,publisherId,rawPrice,realEstateAdId,rooms,subtypeId,surface,transactionTypeId,typeId
,,Flat,Flat,Huspy,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-amueblado/188727826/d?from=list'},,False,False,39.4743028,El Pilar, Valencia Capital,Ciutat Vella ,"Valencia, Zona de ",-0.3823908,919453248,,,188727826,8aea3f8e-686c-432f-8ff1-8554ffaea498,435000,9e8689a3-2cf3-4039-b729-40dea51a2336,,1,,1,2
,,Flat,Flat,INMOBILIARIA LAURIA,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/187118052/d?from=list'},,False,False,39.45957960694661,El Grau, Valencia Capital,Poblats Marítims,"Valencia, Zona de ",-0.3324808561608734,960968667,,,187118052,9d4a5f5d-19e4-4638-9152-13024c9cb9da,420000,1556d81a-2cdb-40c9-bcb1-96c2fc5b822e,,1,,1,2
,,Flat,Flat,RENTURIA SOLUCIONES INMOBILIARIAS,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-parking-jardin-trastero-zona-comunitaria-ascensor-piscina-piscina-no-amueblado/188559112/d?from=list'},,False,False,39.490836502551026,Sant Pau, Valencia Capital,Campanar,"Valencia, Zona de ",-0.4044607137947544,960965996,,,188559112,c017dc2c-c15d-40bc-8c12-9e58a2217013,660000,5ff367bb-cc30-4f41-8af5-42fbd1a5d826,,1,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-patio-no-amueblado/187102743/d?from=list'},,False,False,39.4626275458214,Russafa, Valencia Capital,L'Eixample,"Valencia, Zona de ",-0.36353221249010226,961287313,,,187102743,809dbaef-a28a-4a7f-9011-ea337c5bf487,695000,221a303b-2a06-4c4f-a0da-0a200b4033cb,,2,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-amueblado/185638144/d?from=list'},,False,False,39.48280613456538,Marxalenes, Valencia Capital,La Saïdia,"Valencia, Zona de ",-0.3800965093751752,961287313,,,185638144,809dbaef-a28a-4a7f-9011-ea337c5bf487,295000,fc13501f-4fdf-444d-9e47-5a2c3c866817,,2,,1,2
,,House_Chalet,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-trastero-no-amueblado/182654009/d?from=list'},,False,False,39.469313679518805,El Cabanyal - El Canyamelar, Valencia Capital,Poblats Marítims,"Valencia, Zona de ",-0.32855069690140126,961287313,,,182654009,809dbaef-a28a-4a7f-9011-ea337c5bf487,1500000,db6349dc-6d15-46dc-87de-e6828aa5ae92,,3,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-patio-no-amueblado/183760967/d?from=list'},,False,False,39.4613369423413,Russafa, Valencia Capital,L'Eixample,"Valencia, Zona de ",-0.3775282350585348,961287313,,,183760967,809dbaef-a28a-4a7f-9011-ea337c5bf487,495000,00960be7-0fb5-43e3-a77c-93c8a72cdc74,,2,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/calefaccion-parking-jardin-terraza-trastero-ascensor-piscina-amueblado/185437637/d?from=list'},,False,False,39.29621122315005,El Perellonet, Valencia Capital,Pobles del Sud,"Valencia, Zona de ",-0.28942539359400654,961287313,,,185437637,809dbaef-a28a-4a7f-9011-ea337c5bf487,350000,04d5ef9f-4b97-4a65-8c2c-7c81615c22d6,,2,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-ascensor-no-amueblado/182660261/d?from=list'},,False,False,39.47309668635455,El Mercat, Valencia Capital,Ciutat Vella ,"Valencia, Zona de ",-0.38128528488758695,961287313,,,182660261,809dbaef-a28a-4a7f-9011-ea337c5bf487,560000,00c35fbf-da21-48b0-99de-f5f3d79370f8,,2,,1,2
,,House_Chalet,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/aire-acondicionado-calefaccion-parking-jardin-trastero-patio-piscina-no-amueblado/186954630/d?from=list'},,False,False,39.45068277244206,Malilla, Valencia Capital,Quatre Carreres,"Valencia, Zona de ",-0.3814440445674835,961287313,,,186954630,809dbaef-a28a-4a7f-9011-ea337c5bf487,795000,3c395c91-08c1-42d2-91ac-ea4f0e9ecce0,,3,,1,2
,,Apartment,Flat,Engel & Völkers València,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/calefaccion-parking-ascensor-no-amueblado/187867441/d?from=list'},,False,False,39.46224253619766,Russafa, Valencia Capital,L'Eixample,"Valencia, Zona de ",-0.3776119693619706,961287313,,,187867441,809dbaef-a28a-4a7f-9011-ea337c5bf487,615000,421f1ed2-09a5-4d9b-98d5-2756805e5d34,,2,,1,2
,,Flat,Flat,Coldwell Banker Excellence Real Estate,professional,{'es-ES': '/es/comprar/vivienda/valencia-capital/parking-trastero-ascensor-no-amueblado/188346541/d?from=list'},,False,False,39.46680720265344,Albors, Valencia Capital,Camins al Grau,"Valencia, Zona de ",-0.3545508716747205,+34961238312,,,188346541,5787c395-8657-43a4-9727-cc797d002ee0,640000,3fc6ef2f-3ae2-4195-9080-4f5f0066dc58,,1,,1,2
